sk,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,speed
569.8636338139037,56.2466,66.47800000000001,70.8253,142.063,85.1837,291.30899999999997,99.2125,408.8669,72.2188,578.8340000000001,147.3051,569.6459,64.3388,783.437,133.0461,822.37,-29.915300000000002,947.446,51.3895,988.481,0.9861870491950318
504.3739557450873,14.578699999999998,75.58499999999998,-56.2466,-66.47800000000001,28.937099999999994,224.831,42.9659,342.38890000000004,91.05850000000001,503.16790000000003,15.972199999999994,512.356,8.092199999999998,716.9590000000001,76.7995,755.892,-86.1619,880.9680000000001,-4.857100000000003,922.0029999999999,0.807327813706429
450.7957661200956,-14.578699999999998,-75.58499999999998,14.358399999999996,149.246,-70.8253,-142.063,28.3872,266.8039,76.47980000000001,427.5829,1.393499999999996,436.771,-6.4864999999999995,641.374,62.220800000000004,680.307,-100.7406,805.383,-19.4358,846.418,1.0482388193231567
376.1452062006615,14.028800000000004,117.55790000000002,-14.358399999999996,-149.246,-28.937099999999994,-224.831,62.12140000000001,278.3369,-12.9649,287.525,-85.1837,-291.30899999999997,-20.844899999999996,492.12800000000004,47.86240000000001,531.061,-115.09899999999999,656.1370000000001,-33.7942,697.172,1.0220449763567176
341.89239256678536,-14.028800000000004,-117.55790000000002,48.092600000000004,160.779,-26.993700000000004,169.9671,-28.3872,-266.8039,-42.9659,-342.38890000000004,-34.8737,374.5701,33.833600000000004,413.5031,-99.2125,-408.8669,-129.1278,538.5791,-47.823,579.6141,0.9895229803496222
331.6708984392665,75.08630000000001,-9.188099999999991,26.993700000000004,-169.9671,-7.8799999999999955,204.603,60.82730000000001,243.536,12.9649,-287.525,-102.13409999999999,368.612,-20.829299999999996,409.647,-1.393499999999996,-436.771,-15.972199999999994,-512.356,-72.2188,-578.8340000000001,0.9808646785851772
392.09122739486446,68.7073,38.93299999999999,-94.2541,164.00900000000001,7.8799999999999955,-204.603,-12.949300000000001,205.04399999999998,82.9663,-213.7911,34.8737,-374.5701,20.844899999999996,-492.12800000000004,6.4864999999999995,-641.374,-8.092199999999998,-716.9590000000001,-64.3388,-783.437,1.1765128482834384
419.77296875774954,-68.7073,-38.93299999999999,-81.6566,166.111,-162.9614,125.07600000000002,-60.82730000000001,-243.536,14.259,-252.7241,-33.833600000000004,-413.5031,-47.86240000000001,-531.061,-62.220800000000004,-680.307,-76.7995,-755.892,-133.0461,-822.37,1.2473262283781228
535.9522782479722,-81.3048,-41.03499999999997,81.6566,-166.111,12.949300000000001,-205.04399999999998,20.829299999999996,-409.647,95.91560000000001,-418.8351,47.823,-579.6141,33.7942,-697.172,19.4358,-846.418,4.857100000000003,-922.0029999999999,-51.3895,-988.481,1.2748200609403697
515.0211729899653,81.3048,41.03499999999997,94.2541,-164.00900000000001,162.9614,-125.07600000000002,102.13409999999999,-368.612,177.2204,-377.80010000000004,129.1278,-538.5791,115.09899999999999,-656.1370000000001,100.7406,-805.383,86.1619,-880.9680000000001,29.915300000000002,-947.446,0.9412090132675133
339.21719398020775,-75.08630000000001,9.188099999999991,-48.092600000000004,-160.779,-82.9663,213.7911,-14.259,252.7241,-62.12140000000001,-278.3369,-177.2204,377.80010000000004,-95.91560000000001,418.8351,-76.47980000000001,-427.5829,-91.05850000000001,-503.16790000000003,-147.3051,-569.6459,1.2120081405403194
569.0410462664523,56.22,68.418,74.657,140.22999999999996,89.4817,289.60699999999997,103.8942,406.9416,76.4304,577.2562,151.6643,566.6507,71.6889,781.7819999999999,136.7893,818.63,-21.696,947.804,59.3142,986.115,0.9761867577384951
501.33570320518794,18.436999999999998,71.81199999999995,-56.22,-68.418,33.2617,221.189,47.67419999999999,338.5236,95.4443,498.23269999999997,20.2104,508.8382,15.468899999999998,713.364,80.5693,750.212,-77.916,879.386,3.0942000000000007,917.697,0.7773102775494468
450.389832704504,-18.436999999999998,-71.81199999999995,14.8247,149.37700000000004,-74.657,-140.22999999999996,29.237199999999994,266.71160000000003,77.00730000000001,426.4207,1.7734000000000023,437.0262,-2.9680999999999997,641.552,62.13230000000001,678.4000000000001,-96.35300000000001,807.5740000000001,-15.342799999999997,845.885,1.019969019137347
375.53126866427766,14.412499999999994,117.3346,-14.8247,-149.37700000000004,-33.2617,-221.189,62.18260000000001,277.0437,-13.051299999999998,287.6492,-89.4817,-289.60699999999997,-17.7928,492.17499999999995,47.30760000000001,529.023,-111.1777,658.197,-30.167499999999997,696.508,0.9988536717978227
341.29601014622284,-14.412499999999994,-117.3346,47.77010000000001,159.70909999999998,-27.463799999999992,170.31459999999998,-29.237199999999994,-266.71160000000003,-47.67419999999999,-338.5236,-32.205299999999994,374.8404,32.89510000000001,411.6884,-103.8942,-406.9416,-125.5902,540.8624,-44.57999999999999,579.1734,1.03845211012545
331.0924944215384,75.2339,-10.605500000000006,27.463799999999992,-170.31459999999998,-4.741500000000002,204.5258,60.358900000000006,241.37380000000002,13.051299999999998,-287.6492,-98.1264,370.5478,-17.1162,408.85880000000003,-1.7734000000000023,-437.0262,-20.2104,-508.8382,-76.4304,-577.2562,0.9785973151812734
391.29635089546275,65.10040000000001,36.84800000000001,-93.3849,166.022,4.741500000000002,-204.5258,-12.374699999999997,204.33300000000003,79.97540000000001,-215.1313,32.205299999999994,-374.8404,17.7928,-492.17499999999995,2.9680999999999997,-641.552,-15.468899999999998,-713.364,-71.6889,-781.7819999999999,1.1204530604786629
417.49043263967496,-65.10040000000001,-36.84800000000001,-77.4751,167.485,-158.4853,129.17399999999998,-60.358900000000006,-241.37380000000002,14.875,-251.97930000000002,-32.89510000000001,-411.6884,-47.30760000000001,-529.023,-62.13230000000001,-678.4000000000001,-80.5693,-750.212,-136.7893,-818.63,1.3254107287931518
534.725409302909,-81.0102,-38.311000000000035,77.4751,-167.485,12.374699999999997,-204.33300000000003,17.1162,-408.85880000000003,92.3501,-419.46430000000004,44.57999999999999,-579.1734,30.167499999999997,-696.508,15.342799999999997,-845.885,-3.0942000000000007,-917.697,-59.3142,-986.115,1.2642964639672085
515.3559586644561,81.0102,38.311000000000035,93.3849,-166.022,158.4853,-129.17399999999998,98.1264,-370.5478,173.3603,-381.1533,125.5902,-540.8624,111.1777,-658.197,96.35300000000001,-807.5740000000001,77.916,-879.386,21.696,-947.804,0.9412090132675133
338.3991200755974,-75.2339,10.605500000000006,-47.77010000000001,-159.70909999999998,-79.97540000000001,215.1313,-14.875,251.97930000000002,-62.18260000000001,-277.0437,-173.3603,381.1533,-92.3501,419.46430000000004,-77.00730000000001,-426.4207,-95.4443,-498.23269999999997,-151.6643,-566.6507,1.2059844041711325
568.1211293811623,57.2718,69.86500000000001,78.3932,138.938,94.1493,287.609,109.15050000000001,404.5343,81.3465,575.2551,155.8666,564.0975,78.3716,779.923,140.5796,814.156,-13.657300000000003,947.616,67.7428,983.403,0.9880932968419525
498.5534996198352,21.121399999999994,69.07299999999998,-57.2718,-69.86500000000001,36.87749999999999,217.74399999999997,51.8787,334.66929999999996,98.59479999999999,494.23249999999996,24.0747,505.39009999999996,21.099799999999995,710.058,83.30779999999999,744.2909999999999,-70.9291,877.751,10.470999999999997,913.538,0.7079352964784273
449.46137458788917,-21.121399999999994,-69.07299999999998,15.756099999999996,148.671,-78.3932,-138.938,30.757300000000008,265.5963,77.4734,425.1595,2.953300000000006,436.3171,-0.021599999999999397,640.985,62.1864,675.2180000000001,-92.0505,808.678,-10.650399999999998,844.4649999999999,0.900375815010594
374.828822009147,15.001200000000011,116.92530000000001,-15.756099999999996,-148.671,-36.87749999999999,-217.74399999999997,61.71730000000001,276.4885,-12.80279999999999,287.6461,-94.1493,-287.609,-15.777699999999996,492.314,46.4303,526.547,-107.8066,660.0070000000001,-26.406499999999994,695.794,1.0068912338798095
340.6769536425416,-15.001200000000011,-116.92530000000001,46.7161,159.5632,-27.804000000000002,170.7208,-30.757300000000008,-265.5963,-51.8787,-334.66929999999996,-30.778900000000007,375.38870000000003,31.42909999999999,409.62170000000003,-109.15050000000001,-404.5343,-122.80780000000001,543.0817,-41.407700000000006,578.8687,1.079631912266399
330.3008232857969,74.5201,-11.157600000000002,27.804000000000002,-170.7208,-2.974900000000005,204.66790000000003,59.23309999999999,238.90090000000004,12.80279999999999,-287.6461,-95.00380000000001,372.3609,-13.603700000000003,408.1479,-2.953300000000006,-436.3171,-24.0747,-505.39009999999996,-81.3465,-575.2551,1.0095981927083673
390.44768748164944,62.208,34.233000000000004,-92.0289,167.69299999999998,-10.628799999999998,203.47999999999996,2.974900000000005,-204.66790000000003,77.495,-215.82550000000003,30.778900000000007,-375.38870000000003,15.777699999999996,-492.314,0.021599999999999397,-640.985,-21.099799999999995,-710.058,-78.3716,-779.923,1.0473142667680952
